"Series Description","Nonfinancial business; debt securities and loans; liability","Nonfinancial corporate business; corporate equities; liability","Nonfinancial corporate business; net dividends paid","Farm business; net dividends paid","Nonfinancial noncorporate business; proprietors' equity in noncorporate business (net worth)"
1961Q3,14064.0,1532.0,10536.0,37.0,625.0
1961Q4,19328.0,-400.0,11048.0,39.0,4507.0
1962Q1,12924.0,244.0,11392.0,46.0,1547.0
1962Q2,20540.0,576.0,11680.0,47.0,-609.0
1962Q3,17244.0,256.0,11880.0,47.0,421.0
1962Q4,21548.0,400.0,11408.0,48.0,937.0
1963Q1,15556.0,-20.0,12056.0,114.0,2265.0
1963Q2,18824.0,-44.0,12424.0,116.0,633.0
1963Q3,17376.0,384.0,12544.0,117.0,2238.0
1963Q4,25900.0,-1684.0,12752.0,121.0,3558.0
1964Q1,16300.0,2548.0,13080.0,38.0,2791.0
1964Q2,23156.0,3128.0,13808.0,40.0,227.0
1964Q3,23024.0,748.0,14244.0,40.0,1187.0
1964Q4,26332.0,-1844.0,14852.0,42.0,5346.0
1965Q1,28764.0,-224.0,14960.0,59.0,3236.0
1965Q2,29860.0,1320.0,15696.0,61.0,1735.0
1965Q3,29332.0,52.0,16644.0,63.0,3467.0
1965Q4,30212.0,-1260.0,17480.0,65.0,6610.0
1966Q1,38208.0,-528.0,17576.0,47.0,1199.0
1966Q2,42080.0,6032.0,16936.0,47.0,1474.0
1966Q3,32008.0,1068.0,16572.0,46.0,5483.0
1966Q4,25684.0,-1536.0,15920.0,44.0,5827.0
1967Q1,33476.0,1008.0,17104.0,34.0,6677.0
1967Q2,37240.0,1920.0,17896.0,35.0,-1090.0
1967Q3,32820.0,2944.0,17560.0,36.0,-236.0
1967Q4,27112.0,3716.0,16532.0,34.0,-1615.0
1968Q1,39864.0,1460.0,18648.0,38.0,10736.0
1968Q2,43288.0,2120.0,18604.0,40.0,1319.0
1968Q3,40668.0,-1904.0,19376.0,41.0,923.0
1968Q4,46340.0,-2312.0,19524.0,41.0,-343.0
1969Q1,43872.0,1348.0,19028.0,39.0,5627.0
1969Q2,56732.0,1684.0,19160.0,39.0,-3000.0
1969Q3,49728.0,3960.0,18812.0,39.0,-1887.0
1969Q4,42180.0,6632.0,19104.0,40.0,-184.0
1970Q1,47696.0,5268.0,18272.0,24.0,13776.0
1970Q2,59812.0,4780.0,18484.0,24.0,-3588.0
1970Q3,45576.0,4424.0,18044.0,24.0,-6473.0
1970Q4,41376.0,8304.0,18380.0,24.0,-5148.0
1971Q1,46956.0,7928.0,18912.0,54.0,5919.0
1971Q2,59392.0,13260.0,17584.0,54.0,120.0
1971Q3,56168.0,15360.0,19008.0,54.0,4604.0
1971Q4,43596.0,9192.0,17076.0,54.0,-3421.0
1972Q1,63512.0,9032.0,19900.0,72.0,3870.0
1972Q2,71144.0,13712.0,19788.0,73.0,-9139.0
1972Q3,66044.0,10384.0,19712.0,75.0,-959.0
1972Q4,81820.0,10560.0,19288.0,76.0,-13523.0
1973Q1,102740.0,7004.0,19688.0,91.0,-9202.0
1973Q2,103876.0,8676.0,20580.0,94.0,2151.0
1973Q3,99584.0,5148.0,21424.0,98.0,18525.0
1973Q4,69088.0,10704.0,21308.0,101.0,25942.0
1974Q1,94960.0,6220.0,20276.0,131.0,-20393.0
1974Q2,112536.0,4976.0,23048.0,134.0,-27927.0
1974Q3,92076.0,-20.0,22144.0,136.0,-33598.0
1974Q4,73104.0,5212.0,20660.0,135.0,-29147.0
1975Q1,39148.0,7732.0,24840.0,172.0,-14591.0
1975Q2,38968.0,12892.0,24220.0,171.0,-16376.0
1975Q3,39772.0,6852.0,24092.0,172.0,-10703.0
1975Q4,34728.0,12156.0,25132.0,174.0,-9318.0
1976Q1,65388.0,12608.0,24140.0,137.0,-21834.0
1976Q2,69796.0,14020.0,27876.0,144.0,-12642.0
1976Q3,77336.0,7316.0,28972.0,151.0,-9092.0
1976Q4,82996.0,8152.0,30112.0,159.0,-9041.0
1977Q1,109488.0,-640.0,29220.0,259.0,-29356.0
1977Q2,110056.0,1728.0,29856.0,266.0,-10056.0
1977Q3,109488.0,4420.0,31232.0,276.0,-1578.0
1977Q4,138556.0,5400.0,33336.0,283.0,8765.0
1978Q1,143412.0,-6444.0,33932.0,173.0,-14273.0
1978Q2,141648.0,2792.0,33088.0,177.0,-18649.0
1978Q3,123760.0,800.0,37468.0,185.0,-12681.0
1978Q4,144180.0,2448.0,39216.0,192.0,-13569.0
1979Q1,148516.0,-6740.0,38200.0,237.0,-7957.0
1979Q2,180460.0,-12448.0,38176.0,243.0,-41363.0
1979Q3,170104.0,-7580.0,35940.0,248.0,-30162.0
1979Q4,141880.0,-4576.0,38240.0,255.0,-35920.0
1980Q1,161140.0,5500.0,38272.0,189.0,-52559.0
1980Q2,98376.0,3400.0,51604.0,197.0,-54311.0
1980Q3,108880.0,10100.0,43044.0,198.0,-51780.0
1980Q4,172776.0,22500.0,45684.0,201.0,-18684.0
1981Q1,141820.0,3200.0,49508.0,324.0,-3219.0
1981Q2,229096.0,-5400.0,51788.0,343.0,9078.0
1981Q3,205360.0,-26600.0,54016.0,358.0,20832.0
1981Q4,183900.0,-25000.0,54696.0,367.0,5694.0
1982Q1,216932.0,-7500.0,58396.0,261.0,-44667.0
1982Q2,184272.0,2700.0,47414.0,257.0,-69265.0
1982Q3,185480.0,-7500.0,52386.0,259.0,-66502.0
1982Q4,71044.0,19900.0,58033.0,267.0,-52817.0
1983Q1,110164.0,22900.0,62963.0,256.0,-51929.0
1983Q2,153728.0,36900.0,60834.0,260.0,-50464.0
1983Q3,197108.0,8500.0,63381.0,267.0,-63023.0
1983Q4,201892.0,11700.0,65818.0,274.0,-44238.0
1984Q1,285004.0,-63000.0,66764.0,282.0,-33468.0
1984Q2,350412.0,-105000.0,67189.0,289.0,-67887.0
1984Q3,306120.0,-71700.0,68006.0,289.0,-75033.0
1984Q4,341632.0,-76200.0,66857.0,295.0,-67694.0
1985Q1,263170.0,-87000.0,68187.0,373.0,-50386.0
1985Q2,263809.0,-70000.0,76025.0,379.0,-53950.0
1985Q3,215913.0,-78000.0,70696.0,384.0,-35227.0
1985Q4,276048.0,-103000.0,73116.0,388.0,61188.0
1986Q1,257025.0,-60300.0,70746.0,450.0,-22330.0
1986Q2,294663.0,-87300.0,75956.0,463.0,4681.0
1986Q3,303718.0,-84800.0,70911.0,467.0,870.0
1986Q4,324106.0,-107500.0,73805.0,468.0,-22089.0
1987Q1,158613.0,-43500.0,74886.0,204.0,-40951.0
1987Q2,211322.0,-76500.0,73657.0,205.0,-23208.0
1987Q3,258334.0,-70000.0,74778.0,212.0,-23850.0
1987Q4,266419.0,-112000.0,81682.0,219.0,-22103.0
1988Q1,306733.0,-101000.0,71908.0,781.0,-36578.0
1988Q2,309017.0,-139500.0,78285.0,812.0,-11251.0
1988Q3,317158.0,-83000.0,93946.0,853.0,-35601.0
1988Q4,301140.0,-194500.0,84522.0,891.0,-50688.0
1989Q1,244249.0,-172300.0,105165.0,629.0,-21995.0
1989Q2,284349.0,-98700.0,105349.0,662.0,-27388.0
1989Q3,159748.0,-146300.0,109028.0,684.0,-45902.0
1989Q4,168850.0,-79300.0,101904.0,710.0,-42527.0
1990Q1,218261.0,-69000.0,119708.0,838.0,3859.0
1990Q2,140547.0,-48000.0,115947.0,837.0,30147.0
1990Q3,103318.0,-74000.0,117565.0,838.0,34057.0
1990Q4,63111.0,-61000.0,119976.0,819.0,16323.0
1991Q1,-66180.0,-6000.0,120257.0,775.0,144.0
1991Q2,288.0,12000.0,126333.0,797.0,28847.0
1991Q3,-123705.0,19000.0,125889.0,810.0,48234.0
1991Q4,-132286.0,48000.0,129491.0,811.0,30225.0
1992Q1,-4540.0,46000.0,127754.0,1132.0,19177.0
1992Q2,-25780.0,36000.0,132112.0,1151.0,47312.0
1992Q3,8134.0,12000.0,133777.0,1168.0,50592.0
1992Q4,-19676.0,14000.0,143422.0,1185.0,1280.0
1993Q1,65817.0,8200.0,144926.0,717.0,48064.0
1993Q2,137717.0,23200.0,145600.0,734.0,49814.0
1993Q3,144569.0,32300.0,148754.0,757.0,41772.0
1993Q4,106523.0,21500.0,157446.0,788.0,39421.0
1994Q1,214262.0,-9600.0,151882.0,935.0,26360.0
1994Q2,185345.0,-2000.0,159726.0,969.0,85725.0
1994Q3,204025.0,-50000.0,156279.0,995.0,42712.0
1994Q4,213466.0,-118000.0,164018.0,1013.0,25722.0
1995Q1,280606.0,-43600.0,167248.0,1036.0,29673.0
1995Q2,297737.0,-54920.0,169709.0,1059.0,37364.0
1995Q3,189697.0,-76400.0,185098.0,1095.0,9702.0
1995Q4,181974.0,-58400.0,190044.0,1142.0,782.0
1996Q1,234272.0,-60900.0,186950.0,956.0,-28660.0
1996Q2,292502.0,13900.0,191379.0,998.0,27833.0
1996Q3,247774.0,-112500.0,202059.0,1035.0,-166.0
1996Q4,154697.0,-29800.0,209810.0,1067.0,-12180.0
1997Q1,301259.0,-55800.0,207951.0,1604.0,-41693.0
1997Q2,358196.0,-58700.0,210185.0,1644.0,-14869.0
1997Q3,494811.0,-91500.0,216979.0,1682.0,-24952.0
1997Q4,370521.0,-103500.0,228670.0,1718.0,624.0
1998Q1,571791.0,-86700.0,237718.0,1446.0,-46338.0
1998Q2,610542.0,-71232.0,243441.0,1457.0,-41550.0
1998Q3,520652.0,-259360.0,239266.0,1452.0,-12253.0
1998Q4,529902.0,-444856.0,243708.0,1429.0,-42466.0
1999Q1,648407.0,-27680.0,224933.0,1922.0,-37579.0
1999Q2,428148.0,-306800.0,226498.0,1907.0,-71084.0
1999Q3,693991.0,-104752.0,213080.0,1934.0,-74667.0
1999Q4,498782.0,-2240.0,234157.0,2002.0,-93510.0
2000Q1,663731.0,108176.0,243318.0,1779.0,-32847.0
2000Q2,672853.0,-202520.0,256606.0,1831.0,-22669.0
2000Q3,414335.0,-42924.0,263553.0,1847.0,21418.0
2000Q4,452913.0,-335548.0,241830.0,1827.0,-43099.0
2001Q1,421281.0,-19400.0,241477.0,1966.0,8596.0
2001Q2,437404.0,-59100.0,226187.0,1935.0,-18828.0
2001Q3,284773.0,-109400.0,257505.0,1929.0,-28807.0
2001Q4,218867.0,-4600.0,256506.0,1958.0,-27587.0
2002Q1,261089.0,-2476.0,252050.0,1930.0,-63474.0
2002Q2,108753.0,23964.0,260246.0,1990.0,-83545.0
2002Q3,90013.0,-114256.0,240754.0,2014.0,-78844.0
2002Q4,159441.0,-3732.0,266110.0,2053.0,-62157.0
2003Q1,106658.0,-57408.0,239300.0,2005.0,51677.0
2003Q2,51104.0,-20720.0,327697.0,2012.0,57405.0
2003Q3,184022.0,-11608.0,294274.0,2127.0,60740.0
2003Q4,-32544.0,-12384.0,312193.0,2316.0,59710.0
2004Q1,460991.0,-15844.0,333514.0,2514.0,44497.0
2004Q2,211362.0,-87112.0,322977.0,2649.0,105281.0
2004Q3,472877.0,-162580.0,328136.0,2678.0,70564.0
2004Q4,447058.0,-108248.0,473298.0,3164.0,78117.0
2005Q1,581158.0,-189304.0,314107.0,2760.0,-14799.0
2005Q2,533436.0,-254392.0,252167.0,2833.0,-37458.0
2005Q3,553714.0,-401448.0,106546.0,2859.0,-91623.0
2005Q4,765436.0,-355752.0,10388.0,3060.0,-62581.0
2006Q1,817372.0,-475776.0,399369.0,5001.0,18131.0
2006Q2,798753.0,-494876.0,412943.0,5226.0,1112.0
2006Q3,552741.0,-444256.0,487905.0,5347.0,-417.0
2006Q4,1045146.0,-572704.0,584081.0,5554.0,-13555.0
2007Q1,937390.0,-458864.0,478089.0,3990.0,-50244.0
2007Q2,1180652.0,-660080.0,481016.0,4198.0,-38383.0
2007Q3,1265875.0,-719284.0,502035.0,4254.0,-45597.0
2007Q4,1079298.0,-987132.0,477187.0,4274.0,-66856.0
2008Q1,879777.0,-372088.0,468875.0,3791.0,-352452.0
2008Q2,768194.0,-183476.0,484532.0,3625.0,-306909.0
2008Q3,598657.0,-314340.0,478077.0,3495.0,-312754.0
2008Q4,102664.0,-392336.0,465193.0,3218.0,-298650.0
2009Q1,-287273.0,-138832.0,448927.0,4111.0,-140151.0
2009Q2,-385968.0,136336.0,374349.0,3532.0,-90782.0
2009Q3,-590568.0,66904.0,275690.0,3178.0,-104303.0
2009Q4,-557355.0,-269056.0,306609.0,3050.0,-97427.0
2010Q1,-160996.0,-166716.0,356840.0,3402.0,181665.0
2010Q2,-342192.0,-190952.0,346344.0,3539.0,161112.0
2010Q3,191946.0,-338400.0,394261.0,3756.0,159157.0
2010Q4,-49546.0,-306636.0,404447.0,4011.0,163508.0
2011Q1,163023.0,-293800.0,414443.0,4893.0,229892.0
2011Q2,332303.0,-476444.0,432211.0,5070.0,226917.0
2011Q3,348645.0,-622964.0,447857.0,5347.0,231333.0
2011Q4,347193.0,-425128.0,469676.0,5621.0,249352.0
2012Q1,407321.0,-236652.0,462959.0,6372.0,98764.0
2012Q2,394014.0,-428320.0,466094.0,6627.0,87778.0
2012Q3,437620.0,-349296.0,493216.0,6707.0,85027.0
2012Q4,712130.0,-365352.0,649433.0,8385.0,63306.0
2013Q1,391742.0,-213692.0,529024.0,4405.0,191887.0
2013Q2,548889.0,-371160.0,505931.0,5764.0,171973.0
2013Q3,810311.0,-344056.0,589561.0,4708.0,178354.0
2013Q4,468202.0,-482744.0,476445.0,5123.0,172338.0
2014Q1,690191.0,-501836.0,588890.0,4984.0,31762.0
2014Q2,585732.0,-273072.0,585792.0,4983.0,12000.0
2014Q3,702092.0,-434296.0,542747.0,4962.0,3523.0
2014Q4,830574.0,-340972.0,577913.0,5071.0,33895.0
2015Q1,863124.0,-593468.0,588578.0,5107.0,18451.0
2015Q2,1024924.0,-488480.0,579692.0,5114.0,18842.0
